epoch,step,s-nll,a-nll,s-kl,a-kl,i-l,sa-l,aa-l
13,026800,2.1999,2.0956,0.0269,1.5796,-0.0000,0.0000,0.0000
14,027000,2.1615,2.1027,0.0000,0.0000,0.0000,0.4107,1.2066
14,027200,2.3586,2.2406,0.0000,0.0000,0.0000,0.6438,1.5526
14,027400,2.5004,2.3519,0.0000,0.0000,0.0000,0.8112,2.1107
14,027600,2.4519,2.3459,0.0000,0.0000,0.0000,0.2522,1.8984
14,027800,2.5457,2.3947,0.0000,0.0000,0.0000,0.3036,1.5064
14,028000,2.2216,2.1141,0.0000,0.0000,0.0000,0.3793,1.3870
14,028200,2.4429,2.2593,0.0220,2.3187,-0.0000,0.0000,0.0000
14,028400,2.3453,2.2299,0.0000,0.0000,0.0000,0.5098,1.8283
14,028600,2.5297,2.4690,0.0331,1.6970,-0.0000,0.0000,0.0000
14,028800,2.2412,2.0986,0.0372,1.7415,0.0000,0.0000,0.0000
15,029000,2.2627,2.1397,0.0000,0.0000,0.0000,0.4938,1.4107
15,029200,2.2828,2.1655,0.0291,1.5801,0.0000,0.0000,0.0000
15,029400,2.0953,2.0333,0.0000,0.0000,0.0000,0.3817,1.5725
15,029600,2.7344,2.5685,0.0308,2.2082,0.0000,0.0000,0.0000
15,029800,2.4211,2.3158,0.0000,0.0000,0.0000,0.4830,1.3397
15,030000,2.4704,2.3660,0.0000,0.0000,0.0000,0.3895,1.8868
15,030200,2.3192,2.2465,0.0167,1.5285,0.0000,0.0000,0.0000
15,030400,2.2465,2.1164,0.0255,1.8252,0.0000,0.0000,0.0000
15,030600,2.2185,2.1588,0.0000,0.0000,0.0000,0.3835,0.9444
16,030800,2.1974,2.0807,0.0275,1.5237,-0.0000,0.0000,0.0000
16,031000,2.0998,2.0269,0.0000,0.0000,0.0000,0.2249,1.2869
16,031200,2.1343,2.0259,0.0744,1.9458,0.0000,0.0000,0.0000
16,031400,2.2822,2.1762,0.0000,0.0000,0.0000,0.3027,1.0282
16,031600,2.1103,1.9893,0.0475,1.4366,-0.0000,0.0000,0.0000
16,031800,2.2367,2.2032,0.0000,0.0000,0.0000,0.6219,1.5816
16,032000,2.1296,2.0018,0.0000,0.0000,0.0000,0.3962,1.9502
16,032200,2.2071,2.1320,0.0000,0.0000,0.0000,0.5299,1.3870
16,032400,2.2410,2.2048,0.0000,0.0000,0.0000,0.4511,1.2342
16,032600,2.7258,2.6627,0.0521,1.9616,0.0000,0.0000,0.0000
17,032800,2.0801,2.0418,0.0000,0.0000,0.0000,0.1567,1.1564
